Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A
3;http://megafilmeshd.net/category/musical/;Musical - Mega Filmes HD;17;22;19;16;19;19;19;20;16;21;13;16;17;29;26;27;28;27;26;25;26;28
3;http://disneyjunior.com/plutos-musical-maze;Pluto's Musical Maze | Disney Junior;16;23;20;17;20;28;16;27;26;27;21;0;26;25;24;0;25;23;23;21;23;22
3;http://www.musicalamerica.com/;Musical America - Online International Performing Arts and ...;15;24;0;18;16;17;18;22;22;24;17;18;18;23;16;24;23;20;21;20;19;17
1;http://www.today.com/news/witness-glory-magic-bleeped-out-words-today-musical-1D80395075;Witness the glory, the magic, the bleeped-out words of ...;14;0;0;0;14;20;17;0;0;0;8;20;11;0;14;0;0;0;0;0;0;0
2;http://www.merriam-webster.com/dictionary/musical;Musical - Merriam-Webster.com;13;21;13;4;4;10;3;9;12;0;0;0;0;0;7;21;17;17;16;14;17;15
1;http://www.amazon.com/musical-instruments-accessories-sound-recording/b?ie=UTF8&node=11091801;Amazon.com: Musical Instruments;12;11;17;12;13;15;15;0;0;17;15;15;16;18;15;16;12;16;15;17;15;16
1;http://www.flashdancethemusical.com/;Flashdance The Musical;11;12;0;7;6;36;36;38;37;38;36;38;39;39;38;39;39;39;40;39;39;39
1;http://musical-treasures.tumblr.com/;musical-treasures - Tumblr;10;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5
2;http://instagram.com/motownmusical;Motown Musical (@motownmusical) â¢ Instagram photos and ...;9;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://mim.org/visit/plan-your-visit/;Musical Instrument Museum | Plan Your Visit;8;14;0;14;9;0;12;18;0;0;12;0;0;0;0;0;0;0;0;0;0;0
1;http://www.blankthemusical.com/;Blank! The Musical;7;10;11;6;5;8;9;10;0;16;2;6;9;16;11;9;7;6;8;7;3;7
4;http://www.nymf.org/tickets/2014-events/clinton/;New York Musical Theatre Festival :: Clinton;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.desmoinesperformingarts.org/events/willis-broadway-series/346-motown/;Motown The Musical - Des Moines Performing Arts;5;17;0;0;10;0;13;0;0;0;10;12;12;0;13;0;4;2;0;0;0;0
4;http://www.memphisthemusical.com/;Memphis The Musical - Home;4;8;12;9;7;14;10;7;13;13;11;13;13;14;0;18;0;0;13;11;9;10
2;http://baysidethemusical.com/;Bayside! The Musical!;3;5;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://anniethemusical.com/;ANNIE The Musical - Home;2;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.starstreams.com/;Musical Starstreams;1;16;14;8;0;2;0;12;15;19;0;4;4;17;5;19;16;15;14;13;12;14
1;http://atlanta.craigslist.org/search/msa;atlanta musical instruments - craigslist;0;44;43;42;41;41;41;0;41;41;41;40;42;41;0;41;0;41;41;41;41;41
1;https://twitter.com/musical50shades;50Shades!The Musical (@Musical50Shades) | Twitter;0;19;0;10;25;29;26;8;0;15;23;0;28;0;0;14;0;0;9;0;0;0
1;http://musical-treasures.tumblr.com/videos;Videos - musical-treasures - Tumblr;0;18;0;0;11;0;14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://putlocker.is/watch-high-school-musical-online-free-putlocker.html;Watch High School Musical Online Free Putlocker ...;0;15;0;0;0;0;0;15;0;0;0;0;14;0;0;0;0;0;0;0;0;0
4;http://www.proctors.org/events/elf;ELF The Broadway Musical - Proctor's Theatre;0;13;0;0;0;6;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.cannibalonstage.com/;Trey Parker's Cannibal the Musical;0;9;0;5;12;0;7;0;5;14;0;0;0;13;0;10;6;0;0;0;0;0
1;http://www.blumenthalarts.org/events/detail/motown-the-musical;Motown The Musical | Blumenthal Performing Arts;0;7;10;3;0;3;0;4;10;11;0;3;2;0;6;15;15;13;12;12;10;13
4;http://matheatre.com/;Calculus: The Musical!;0;6;9;2;0;7;1;3;9;9;3;8;8;12;9;12;11;10;10;9;7;8
1;http://www.orpheum-memphis.com/events/detail/motown-the-musical;Motown The Musical - The Orpheum Theatre;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.theaddamsfamilymusical.com/;The Addams Family - The Broadway Musical | Official Site ...;0;3;6;0;2;13;8;5;8;8;4;9;5;9;8;7;30;30;31;31;29;30
1;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical.aspx;Motown The Musical - Straz Center for the Performing Arts;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://deadline.com/2015/02/hamilton-musical-broadway-premiere-date-1201380589/;SRO 'Hamilton' Musical Unveils Post-Tony Broadway ...;0;0;40;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.bbc.co.uk/news/entertainment-arts-31623810;BBC News - Carole King calls London tribute musical 'a ...;0;0;30;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;https://www.musicalchairs.info/jobs;Jobs - MusicalChairs;0;0;27;27;24;27;27;28;11;0;0;0;27;27;25;0;3;0;0;8;22;25
;http://www.youtube.com/watch?v=uD2nOjV3AaI;Wheel of Musical Impressions with Christina Aguilera ...;0;0;21;11;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.independent.co.uk/arts-entertainment/theatre-dance/reviews/beautiful-the-carole-king-musical-aldwych-theatre--review-a-likeable-zestful-show-10067816.html;Beautiful: The Carole King Musical, Aldwych Theatre - review;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.nytimes.com/2014/09/17/theater/bull-durham-a-musical-adaptation-of-the-1988-movie.html;'Bull Durham,' a Musical Adaptation of the 1988 Movie ...;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.theguardian.com/stage/2015/feb/25/carole-king-west-end-musical-beautiful-aldwych-theatre;One fine night: Carole King makes surprise appearance at ...;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://oncemusical.com/tour/;Once The Musical Tour Tickets;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.bmi.com/genres/entry/the_bmi_lehman_engel_musical_theatre_workshop;Genres: The BMI Lehman Engel Musical Theatre Workshop ...;0;0;1;0;0;0;0;0;6;2;0;0;0;8;0;0;0;0;0;0;0;0
;http://www.nytimes.com/2015/02/26/theater/review-brooklynite-a-superhero-musical-with-matt-doyle-and-nicolette-robinson.html;Review: 'Brooklynite,' a Superhero Musical with Matt Doyle ...;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.ew.com/2015/02/25/spongebob-musical;'SpongeBob' musical has eye on Broadway | EW.com;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://mashable.com/2015/02/25/postpartum-helloflo-ad/;'Postpartum: The Musical' is HelloFlo's official anthem for ...;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.broadwayworld.com/article/Nickelodeon-Bringing-SPONGEBOB-Musical-to-Broadway-20150225;Nickelodeon Bringing SPONGEBOB Musical to Broadway?;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;https://www.youtube.com/playlist?list=PLCJLiJ8uSJrBG5da3z1DGd0PQssU_feq-;Musical Guests - YouTube;0;0;0;0;26;0;0;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://time.com/3582415/duck-dynasty-musical/;There's Going to Be a Duck Dynasty Musical | TIME;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.carnegiehall.org/MusicalConnections/;Musical Connections | Carnegie Hall;0;0;0;0;1;11;4;0;1;3;6;10;7;0;4;8;8;5;4;5;14;12
;http://www.usatoday.com/story/life/music/2015/02/27/young-von-trapp-family-band/24110983/;Young von Trapps continue musical tradition - USA Today;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.musical-club-of-hartford.org/;The-musical-club-of-hartford.org;0;0;0;0;0;5;0;0;3;5;0;5;0;0;0;0;0;0;0;0;0;0
;http://themusicalbox.net/;The Musical Box;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;http://music.blog.ajc.com/2015/03/01/concert-review-billy-joel-a-model-of-musical-perfection-in-atlanta-return/;Concert review: Billy Joel a model of musical perfection in ...;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;https://www.musicalchairs.info/trombone/jobs;Trombone Jobs - MusicalChairs;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;17;0;12;29;0;0;0
;http://www.ticketmaster.com/section/arts_theater;Tickets for Arts, Theater, Broadway, Musical, Exhibit ...;0;0;0;0;0;0;5;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.amazon.com/Autism-The-Musical-Elaine-Hall/dp/B0012XIGZ0;Amazon.com: Autism: The Musical: Elaine Hall, Rosanne ...;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.americanmusical.com/Guitars;Guitars|American Musical Supply;0;0;0;0;0;0;0;11;0;12;0;0;6;0;0;0;0;0;2;0;0;3
;http://www.imdb.com/genre/musical/;IMDb: Genre: Musical;0;0;0;0;0;0;0;0;44;0;44;43;44;43;43;44;43;43;44;44;44;45
;http://www.dnainfo.com/chicago/20150304/ukrainian-village/tony-fitzpatricks-lolla-poster-highlights-citys-boozy-musical-underbelly;Tony Fitzpatrick Lollapalooza Poster Touts City's Boozy ...;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.salon.com/2015/03/04/heres_a_hilarious_musical_tribute_to_the_online_commenters_that_have_ruined_our_lives/;Here's a hilarious musical tribute to the online commenters ...;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical;Motown The Musical - Straz Center for the Performing Arts;0;0;0;0;0;0;0;0;14;0;0;0;0;11;2;11;13;3;0;0;0;0
;http://thehanovertheatre.org/showinfo.php?id=125;Flashdance: The Musical - Hanover Theatre;0;0;0;0;0;0;0;0;7;6;0;1;0;5;1;3;0;0;0;0;0;0
;http://mq.oxfordjournals.org/;Musical Quarterly: Oxford Journals | Arts & Humanities;0;0;0;0;0;0;0;0;2;4;0;0;0;7;0;5;2;1;3;4;2;4
;https://www.youtube.com/user/musicalfreedomrecs;Musical Freedom - YouTube;0;0;0;0;0;0;0;0;0;7;0;21;22;10;19;2;0;0;0;16;5;9
;http://talk.collegeconfidential.com/musical-theater-major/;Musical Theater Major - College Confidential;0;0;0;0;0;0;0;0;0;1;0;0;3;6;3;6;5;4;5;0;1;1
;http://www.rollingstone.com/tv/videos/jimmy-fallon-challenges-mullet-wearing-hugh-jackman-to-musical-beers-20150306;Musical Beers - Rolling Stone;0;0;0;0;0;0;0;0;0;0;40;14;0;0;0;0;0;0;0;0;0;0
;http://www.buzzfeed.com/nicholaswray/musical-beers;Watch Hugh Jackman, Chris Hemsworth, And Jimmy Fallon ...;0;0;0;0;0;0;0;0;0;0;37;26;0;0;0;0;0;0;0;0;0;0
;http://www.youtube.com/watch?v=L2qGaGnKGZI;Musical Beers with Hugh Jackman, Chris Hemsworth and ...;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;0;0;0;0;0;0
;https://www.facebook.com/panicmusical;PANIC The Musical | Facebook;0;0;0;0;0;0;0;0;0;0;25;28;0;0;0;0;0;0;0;0;0;0
;http://www.eonline.com/news/632796/jimmy-fallon-plays-musical-beers-with-hugh-jackman-chris-hemsworth-and-snl-cast-members-watch-now;Jimmy Fallon Plays Musical Beers With Hugh Jackman ...;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
;http://beautifulonbroadway.com/tickets/;BEAUTIFUL The Carole King Musical on Broadway | Official ...;0;0;0;0;0;0;0;0;0;0;7;0;15;15;12;13;1;0;0;1;0;0
;http://digg.com/video/hugh-jackman-chris-hemsworth-fallon-and-play-musical-beers;Hugh Jackman, Chris Hemsworth, Fallon And Play 'Musical ...;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;https://www.musicalchairs.info/;musicalchairs - Classical Music Jobs, Courses & Competitions;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
;http://beautifulonbroadway.com/;BEAUTIFUL The Carole King Musical on Broadway | Official ...;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;http://www.mcsweeneys.net/articles/what-a-straight-mans-favorite-musical-says-about-him;What a Straight Man's Favorite Musical Says About Him.;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;18;30;32;32
;http://www.pageantmusical.com/;Official Site | Pageant: The Musical;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0
;http://baysidethemusical.com/tickets/;Tickets â Bayside! The Musical!;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;7;6;6;4;0
;http://www.themusicalbox.net/;The Musical Box;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;https://www.facebook.com/heathersthemusical;Heathers - The Musical - Theater | Facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;31;31;32;29;28;0
;http://www.ew.com/article/2015/03/11/smash-musical-bombshell-launches-kickstarter-charity-concert-production;'Smash' musical 'Bombshell' - Entertainment Weekly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0
;http://variety.com/2015/legit/reviews/first-wives-club-review-musical-chicago-1201450770/;'First Wives Club' Review: Musical Bows in Chicago Before ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0
;http://www.felaonbroadway.com/;Fela! On Broadway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;http://deadspin.com/why-an-alabama-recruit-is-channeling-zac-efron-in-high-1691238275;Why An Alabama Recruit Is Channeling Zac Efron In High ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;14;0;0;0;0
;http://www.npr.org/2015/03/14/392761344/not-my-job-trombone-shorty-gets-quizzed-on-obscure-musical-instruments;Not My Job: Trombone Shorty Gets Quizzed On Obscure ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;22;0;0;0;0
;http://www.thedailybeast.com/articles/2015/03/16/exclusive-song-from-the-new-clinton-musical.html;Exclusive Song From the New Clinton Musical - The Daily ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0
;http://www.theguardian.com/stage/2015/mar/18/the-secret-diary-of-adrian-mole-aged-13-three-quarters-review-musical;The Secret Diary of Adrian Mole Aged 13¾ review – quaint ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
;http://www.telegraph.co.uk/culture/theatre/theatre-reviews/11476840/The-Secret-Diary-of-Adrian-Mole-Aged-13-and--the-Musical-Leicester-Curve-review-funny-stirring-spin-on-a-Thatcher-era-classic.html;The Secret Diary of Adrian Mole Aged 13 and ¾ – the ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
;http://www.mtv.com/news/musical_march_madness/;MTV Musical March Madness | MTV - MTV.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;23
;http://www.huffingtonpost.com/2015/03/18/mean-girls-musical_n_6892850.html;The 'Mean Girls' Musical Is '60 Percent Written,' According ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
;http://www.usatoday.com/story/life/music/2015/03/18/glee-series-finale-music-highlights/24940423/;Farewell, 'Glee': The giddiest musical moments - USA Today;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
;http://www.amasmusical.org/;Amas Musical Theatre: Cultural Diversity in Musical Theatre ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
