Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015;04/02/2015 A;04/03/2015 A
2;http://www.ew.com/article/2015/03/11/smash-musical-bombshell-launches-kickstarter-charity-concert-production;'Smash' musical 'Bombshell' - Entertainment Weekly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://variety.com/2015/legit/reviews/first-wives-club-review-musical-chicago-1201450770/;'First Wives Club' Review: Musical Bows in Chicago Before ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;https://www.musicalchairs.info/trombone/jobs;Trombone Jobs - MusicalChairs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;12;29;0;0;0;29;0;0;0;0;0;4;0;31;0;0;0;0;0
2;http://www.felaonbroadway.com/;Fela! On Broadway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
1;http://deadspin.com/why-an-alabama-recruit-is-channeling-zac-efron-in-high-1691238275;Why An Alabama Recruit Is Channeling Zac Efron In High ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.npr.org/2015/03/14/392761344/not-my-job-trombone-shorty-gets-quizzed-on-obscure-musical-instruments;Not My Job: Trombone Shorty Gets Quizzed On Obscure ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.thedailybeast.com/articles/2015/03/16/exclusive-song-from-the-new-clinton-musical.html;Exclusive Song From the New Clinton Musical - The Daily ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.theguardian.com/stage/2015/mar/18/the-secret-diary-of-adrian-mole-aged-13-three-quarters-review-musical;The Secret Diary of Adrian Mole Aged 13¾ review – quaint ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.telegraph.co.uk/culture/theatre/theatre-reviews/11476840/The-Secret-Diary-of-Adrian-Mole-Aged-13-and--the-Musical-Leicester-Curve-review-funny-stirring-spin-on-a-Thatcher-era-classic.html;The Secret Diary of Adrian Mole Aged 13 and ¾ – the ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.mtv.com/news/musical_march_madness/;MTV Musical March Madness | MTV - MTV.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;23;13;27;22;16;14;16;15;24;22;16;0;0;0;0
4;http://www.huffingtonpost.com/2015/03/18/mean-girls-musical_n_6892850.html;The 'Mean Girls' Musical Is '60 Percent Written,' According ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.usatoday.com/story/life/music/2015/03/18/glee-series-finale-music-highlights/24940423/;Farewell, 'Glee': The giddiest musical moments - USA Today;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.amasmusical.org/;Amas Musical Theatre: Cultural Diversity in Musical Theatre ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;10;2;9;1;3;1;10;7;6;0;1;1;4
2;http://www.broadwayindetroit.com/engine.cfm?i=191;Flashdance the Musical - Broadway in Detroit Fisher Theatre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;5;0;1;0;0;0;0;0;0;0;0
2;http://kotaku.com/first-look-at-the-naruto-stage-musical-1692569916;First Look at the Naruto Stage Musical - Kotaku;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
1;https://www.shnsf.com/Online/default.asp?BOparam::WScontent::loadArticle::permalink=matilda&BOparam::WScontent::loadArticle::context_id=;Matilda the Musical - SHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.musicaltheatresw.com/;Musical Theatre Southwest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;1;0;0;0;0
1;https://pro.beatport.com/label/musical-freedom/14175;Musical Freedom :: Beatport Pro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;6;15;27;32;29;32;32;31;3;22;22;22
1;http://screengrabber.deadspin.com/crying-villanova-piccolo-player-now-with-musical-accom-1692900606;Crying Villanova Piccolo Player, Now With Musical ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;26;26;0;0;0;0;0;0;0;0;0;0
;http://time.com/3753640/carole-king-movie/;Beautiful: The Carole King Musical Heading to the Big ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;28;0;0;0;0;0;0;0;0;0;0
;http://variety.com/2015/film/news/beautiful-the-carole-king-musical-movie-sony-tom-hanks-1201457689/;'Beautiful: The Carole King Musical' Being Made Into a ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
;http://www.bbc.co.uk/news/entertainment-arts-32019683;Carole King musical Beautiful headed for big screen - BBC ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0
;http://deadline.com/2015/03/sony-pictures-bringing-beautiful-the-carole-king-musical-to-movie-theaters-1201396619/;Beautiful: The Carole King Musical To Be Adapted For Film ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
;http://www.ew.com/article/2015/03/22/beautiful-carole-king-musical-film-adaptation;Beautiful: The Carole King Musical - Entertainment Weekly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
;http://mim.org/exhibits/collection/;Musical Instrument Museum | Collections;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;4;0;0;0;0
;https://www.facebook.com/MotownTheMusical;Motown the Musical - New York, New York - Theater, Event ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
;http://www.bmi.com/news/entry/final_ruling_for_air_travel_with_musical_instruments;Final Ruling for Air Travel With Musical Instruments - BMI.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;39;31;0;0;0;0;0;0;0
;http://nerdist.com/game-of-thrones-gets-a-musical-season-1-recap-with-sex-pistols-steve-jones/;GAME OF THRONES Gets a Musical Season 1 Recap with ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0
;http://www.motherjones.com/node/272291;Everything Changed on 9/11, Starting With Ted Cruz's ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
;http://50shadesthemusical.com/;50 Shades! The Musical Parody;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;8;0;14;14;29;29;6;0
;http://www.drphillipscenter.org/shows-and-events/Shows-Events/Broadway/2030-motown-the-musical.stml;Motown The Musical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;http://improveverywhere.com/2015/03/24/beer-musical/;Beer! The Musical! | Improv Everywhere;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;33;0;0;0;0;0;0;0
;http://www.nytimes.com/2015/01/11/theater/the-musical-houdini-travels-a-bumpy-path.html;The Musical 'Houdini' Travels a Bumpy Path ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;43;43;43;43;43;43;43
;http://www.rollingstone.com/music/news/saul-williams-details-why-the-tupac-musical-closed-20140721;Saul Williams Details Why the Tupac Musical 'Holler ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;42;42;42;42;42;42;42;42
;http://www.newyorker.com/magazine/2014/07/28/musical-gold;Musical Gold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;41;41;41;41;41;41;41;41
;https://www.guildwars2.com/en/news/musical-bass-guitar-and-mad-scientists-mining-tool-in-the-gem-store/;Musical Bass Guitar and Mad Scientist's Mining Tool in the ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;0;0;0;0
;http://sacramento.craigslist.org/search/msa;sacramento musical instruments - craigslist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;13;0;0;0;0;0
;http://www.people.com/article/pretty-woman-musical-fantasy-casting;Fantasy-Casting the Pretty Woman Musical - People.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
;http://nypost.com/2015/03/25/musical-willis-clan-lands-tlc-reality-show/;Musical Willis Clan lands TLC reality show | New York Post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;http://portland.craigslist.org/search/msa;portland musical instruments - craigslist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
;http://www.music.umich.edu/departments/mustheatre/;Musical Theatre - University of Michigan School of Music;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;3;0;0;0;0
;http://www.theguardian.com/film/musical;Musicals | Film | The Guardian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0
;http://io9.com/every-single-musical-genre-mapped-1694086887;Every Single Musical Genre, Mapped - io9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;30;0;0;0
;http://www.ew.com/article/2015/03/30/wiz-nbc;'The Wiz' is NBC's next musical | EW.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
;http://www.cnn.com/2015/03/30/entertainment/the-wiz-nbc-musical-feat/;'The Wiz' set as NBC's next live musical - CNN.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;7;0;0
;http://time.com/3764655/the-wiz-next-nbc-musical/;NBC's Next Musical Will Be The Wiz | TIME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0
;http://www.usatoday.com/story/life/tv/2015/03/30/life-tv-wiz-nbc-harvey-fierstein/70683942/;NBC's next live musical: 'The Wiz' - USA Today;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0
;http://www.mtv.com/content/news/musical_march_madness/2015/;MTV Musical March Madness | MTV - MTV.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25;23;18
;http://www.slate.com/blogs/browbeat/2015/01/16/nbc_making_the_wiz_its_next_live_musical_let_s_cast_it.html;NBC making The Wiz its next live musical? Let's cast it! - Slate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
;http://www.today.com/popculture/wiz-nbcs-next-live-musical-2D80578402;'The Wiz' is NBC's next live musical - Pop Culture - TODAY ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0
;http://deadline.com/2015/03/wiz-next-nbc-musical-cirque-du-soleil-broadway-1201401354/;'The Wiz' Next NBC Live Musical; Cirque Du Soleil Partner ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;http://variety.com/2015/tv/news/the-wiz-nbc-live-television-musical-1201462700/;'The Wiz' Will Be NBC's Next Live Musical Television ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
;http://www.residentadvisor.net/news.aspx?id=29005;RA News: Ostgut Ton unveils plans for Berghain, The Musical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;27;0
;http://www.theonion.com/articles/nbc-announces-next-live-musical-will-be-the-wiz,38343/;NBC Announces Next Live Musical Will Be 'The Wiz' | The ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;16;0
;http://www.theverge.com/2015/3/31/8320585/nbc-the-wiz-live-cirque-du-soleil;NBC's next live musical will be The Wiz, produced by Cirque ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0
;http://news.nationalgeographic.com/2015/03/150331-neanderthals-music-oldest-instrument-bones-flutes-archaeology-science/;"Was ""Earliest Musical Instrument"" Just a Chewed-Up Bone?";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
;http://www.laineygossip.com/NBC-announces-next-live-musical-will-be-The-Wiz-and-Keke-Palmer-should-be-cast-as-Dorothy/38067;NBC announces next live musical will be The Wiz and Keke ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
;http://www.npr.org/blogs/allsongs/2015/03/31/396361908/can-you-name-that-musical-prank;Can You Name That Musical Prank? : All Songs Considered ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
;http://www.wsbtv.com/s/musicalawards/;Georgia High School Musical Theater Awards - WSB-TV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0
;http://artsbeat.blogs.nytimes.com/2015/04/02/musical-play-all-thats-sure-is-david-bowie-is-involved/;Musical? Play? All That's Sure Is David Bowie Is Involved ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32
;http://disneyparks.disney.go.com/blog/2015/04/tangled-the-musical-coming-to-disney-cruise-line/;'Tangled: The Musical' Coming to Disney Cruise Line ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0
;http://www.huffingtonpost.com/2015/04/02/david-bowie-lazarus_n_6994870.html;Bowie Fans Rejoice! The Singer Is Making A Musical ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;20
;http://time.com/3769653/sketchshe-mime-through-time-australian-girls-lipsyncing/;Watch Three Women Lip Sync Their Way Through Musical ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0
;http://blogs.disney.com/oh-my-disney/2015/04/02/tangled-the-musical-is-coming-to-the-disney-magic/;Tangled: The Musical Is Coming to the Disney Magic ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;24
;http://time.com/3770278/groundhog-day-broadway-musical-march-2017/;Groundhog Day Broadway Musical to Premiere in 2017 | TIME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
;http://www.usatoday.com/story/life/movies/2015/04/02/groundhog-day-the-musical-opens-on-broadway/70862126/;'Groundhog Day' musical to open March 2017 - USA Today;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
;http://variety.com/2015/legit/news/david-bowie-musical-man-who-fell-to-earth-1201465256/;David Bowie Musical: 'Man Who Fell to Earth' Lands Off ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
;http://www.vanityfair.com/hollywood/2015/04/bill-murray-movie-broadway;Which Bill Murray Movie is Getting a Broadway Musical ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
;http://southpark.cc.com/full-episodes/s12e13-elementary-school-musical;Elementary School Musical - South Park - Comedy Central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
